iter	Passed	Remaining
0	153	152997
1	155	77837
2	158	52744
3	161	40181
4	164	32660
5	167	27699
6	171	24395
7	175	21744
8	178	19643
9	181	17949
10	184	16588
11	187	15411
12	189	14424
13	192	13591
14	196	12903
15	199	12260
16	201	11650
17	203	11092
18	205	10592
19	207	10147
20	208	9727
21	210	9347
22	211	8997
23	213	8673
24	214	8373
25	216	8092
26	217	7831
27	218	7590
28	219	7363
29	221	7151
30	222	6954
31	223	6769
32	225	6594
33	226	6432
34	227	6277
35	228	6131
36	230	5995
37	231	5863
38	232	5738
39	234	5620
40	235	5506
41	236	5398
42	237	5294
43	239	5196
44	240	5102
45	241	5013
46	243	4927
47	244	4844
48	245	4764
49	246	4688
50	248	4616
51	249	4544
52	250	4478
53	251	4412
54	253	4348
55	254	4287
56	255	4227
57	256	4171
58	258	4117
59	259	4064
60	260	4013
61	261	3963
62	263	3916
63	264	3870
64	265	3825
65	267	3781
66	268	3738
67	269	3696
68	270	3649
69	271	3610
70	272	3571
71	274	3534
72	275	3498
73	276	3463
74	278	3429
75	279	3395
76	280	3362
77	281	3331
78	283	3300
79	284	3269
80	285	3239
81	286	3210
82	288	3182
83	289	3155
84	290	3128
85	291	3101
86	293	3076
87	294	3050
88	295	3026
89	296	3001
90	298	2978
91	299	2955
92	300	2933
93	302	2911
94	303	2889
95	304	2868
96	305	2847
97	307	2827
98	308	2807
99	309	2787
100	310	2767
101	312	2750
102	313	2731
103	314	2713
104	316	2695
105	317	2677
106	318	2660
107	320	2644
108	321	2627
109	322	2610
110	324	2594
111	325	2578
112	326	2564
113	328	2551
114	329	2536
115	330	2521
116	332	2506
117	333	2492
118	334	2478
119	336	2464
120	337	2450
121	338	2436
122	339	2423
123	341	2409
124	342	2396
125	343	2383
126	344	2371
127	346	2360
128	348	2351
129	349	2340
130	351	2328
131	352	2317
132	353	2305
133	355	2294
134	356	2284
135	357	2273
136	359	2264
137	361	2255
138	362	2246
139	364	2239
140	365	2229
141	367	2220
142	368	2210
143	370	2199
144	371	2191
145	373	2181
146	374	2171
147	375	2162
148	376	2152
149	378	2143
150	379	2133
151	380	2124
152	381	2114
153	383	2105
154	384	2096
155	385	2087
156	387	2078
157	388	2070
158	389	2061
159	390	2052
160	392	2044
161	393	2035
162	394	2027
163	396	2019
164	397	2011
165	398	2003
166	399	1994
167	401	1986
168	402	1978
169	403	1971
170	404	1963
171	406	1955
172	407	1948
173	408	1941
174	410	1933
175	411	1926
176	412	1919
177	414	1912
178	415	1905
179	416	1898
180	417	1891
181	419	1884
182	420	1877
183	421	1870
184	422	1863
185	424	1856
186	425	1850
187	426	1843
188	428	1837
189	429	1830
190	430	1824
191	432	1818
192	433	1812
193	434	1805
194	435	1799
195	437	1793
196	438	1787
197	439	1781
198	441	1775
199	442	1769
200	443	1763
201	444	1757
202	446	1751
203	447	1745
204	448	1740
205	450	1734
206	451	1729
207	452	1723
208	453	1718
209	455	1712
210	456	1707
211	457	1701
212	458	1695
213	460	1690
214	461	1685
215	462	1679
216	464	1674
217	465	1669
218	466	1664
219	468	1659
220	469	1654
221	470	1649
222	471	1644
223	473	1639
224	474	1634
225	475	1629
226	477	1624
227	478	1619
228	479	1614
229	480	1609
230	482	1605
231	483	1600
232	484	1595
233	486	1591
234	487	1586
235	488	1582
236	490	1578
237	491	1573
238	492	1569
239	494	1564
240	495	1559
241	496	1555
242	497	1550
243	499	1546
244	500	1542
245	501	1538
246	503	1533
247	504	1529
248	505	1525
249	507	1521
250	508	1517
251	509	1513
252	511	1509
253	512	1505
254	513	1500
255	514	1496
256	516	1494
257	518	1490
258	519	1487
259	521	1484
260	523	1481
261	524	1477
262	525	1473
263	527	1470
264	528	1466
265	530	1462
266	531	1458
267	532	1454
268	533	1450
269	535	1446
270	536	1442
271	537	1438
272	538	1434
273	540	1430
274	541	1427
275	542	1423
276	543	1419
277	545	1415
278	546	1412
279	547	1408
280	549	1404
281	550	1401
282	551	1397
283	552	1393
284	554	1390
285	555	1386
286	556	1382
287	557	1379
288	559	1375
289	560	1372
290	561	1368
291	563	1365
292	564	1362
293	565	1358
294	567	1355
295	568	1351
296	569	1347
297	570	1344
298	571	1341
299	573	1337
300	574	1334
301	575	1330
302	577	1327
303	578	1324
304	579	1320
305	580	1317
306	582	1314
307	583	1310
308	584	1307
309	585	1304
310	587	1300
311	588	1297
312	589	1294
313	590	1290
314	592	1287
315	593	1284
316	594	1281
317	595	1278
318	597	1274
319	598	1271
320	599	1268
321	601	1265
322	602	1262
323	603	1259
324	605	1256
325	606	1253
326	607	1250
327	608	1247
328	610	1244
329	611	1241
330	612	1238
331	613	1234
332	615	1231
333	616	1228
334	617	1225
335	618	1223
336	620	1220
337	621	1217
338	622	1214
339	623	1211
340	625	1208
341	626	1205
342	627	1202
343	628	1199
344	630	1196
345	631	1193
346	632	1190
347	634	1187
348	635	1185
349	636	1182
350	637	1179
351	639	1176
352	640	1173
353	641	1171
354	643	1168
355	644	1165
356	645	1162
357	646	1159
358	648	1157
359	649	1154
360	650	1151
361	652	1149
362	653	1146
363	654	1143
364	656	1141
365	657	1138
366	658	1135
367	659	1133
368	661	1130
369	662	1127
370	663	1125
371	664	1122
372	666	1119
373	667	1117
374	668	1114
375	670	1111
376	671	1109
377	672	1106
378	673	1104
379	675	1101
380	676	1099
381	678	1097
382	679	1094
383	680	1092
384	682	1089
385	683	1086
386	684	1084
387	686	1082
388	688	1081
389	689	1079
390	691	1077
391	692	1074
392	694	1072
393	695	1069
394	696	1067
395	698	1064
396	699	1062
397	700	1059
398	701	1057
399	703	1054
400	704	1052
401	705	1049
402	706	1047
403	708	1044
404	709	1042
405	710	1039
406	712	1037
407	713	1035
408	715	1033
409	716	1031
410	717	1028
411	719	1026
412	720	1024
413	721	1021
414	723	1019
415	724	1017
416	725	1014
417	727	1012
418	728	1009
419	729	1007
420	730	1005
421	732	1002
422	733	1000
423	734	997
424	735	995
425	736	993
426	738	990
427	739	988
428	740	985
429	741	983
430	743	981
431	744	978
432	745	976
433	747	974
434	748	972
435	749	969
436	750	967
437	752	965
438	753	962
439	754	960
440	755	958
441	757	955
442	758	953
443	759	951
444	760	948
445	762	946
446	763	944
447	764	942
448	765	939
449	767	937
450	768	935
451	769	933
452	771	931
453	772	928
454	773	926
455	774	924
456	775	921
457	777	919
458	778	917
459	779	915
460	780	913
461	782	910
462	783	908
463	784	906
464	785	904
465	787	901
466	788	899
467	789	897
468	790	895
469	792	893
470	793	890
471	794	888
472	795	886
473	797	884
474	798	882
475	799	880
476	801	878
477	802	876
478	803	873
479	804	871
480	805	869
481	807	867
482	808	865
483	809	863
484	810	861
485	812	858
486	813	856
487	814	854
488	816	852
489	817	850
490	818	848
491	819	846
492	821	844
493	822	842
494	823	840
495	824	838
496	826	836
497	827	834
498	829	832
499	830	830
500	831	828
501	833	826
502	834	824
503	835	822
504	836	820
505	838	818
506	839	816
507	840	814
508	841	812
509	843	810
510	844	808
511	845	806
512	847	804
513	848	802
514	850	800
515	851	798
516	852	796
517	854	795
518	855	793
519	857	791
520	859	789
521	860	788
522	861	786
523	863	784
524	864	782
525	865	780
526	866	778
527	868	776
528	869	774
529	870	772
530	871	770
531	873	768
532	874	766
533	875	764
534	877	762
535	878	760
536	879	758
537	880	756
538	882	754
539	883	752
540	884	750
541	886	748
542	887	746
543	888	744
544	889	742
545	891	741
546	892	739
547	893	737
548	895	735
549	896	733
550	897	731
551	898	729
552	900	727
553	901	725
554	902	723
555	904	722
556	905	720
557	906	718
558	908	716
559	909	714
560	910	712
561	912	710
562	913	709
563	915	707
564	917	706
565	918	704
566	920	702
567	921	701
568	923	699
569	924	697
570	926	695
571	927	694
572	929	692
573	930	690
574	932	688
575	933	687
576	935	685
577	936	683
578	937	681
579	939	680
580	940	678
581	942	676
582	943	674
583	945	673
584	946	671
585	947	669
586	949	667
587	950	666
588	952	664
589	953	662
590	954	660
591	955	658
592	957	657
593	958	655
594	960	653
595	961	651
596	962	649
597	963	647
598	965	646
599	966	644
600	967	642
601	969	640
602	970	638
603	971	637
604	973	635
605	974	633
606	975	631
607	977	630
608	978	628
609	979	626
610	980	624
611	982	622
612	983	620
613	984	619
614	985	617
615	987	615
616	988	613
617	989	611
618	990	609
619	992	608
620	993	606
621	995	604
622	996	603
623	997	601
624	999	599
625	1000	597
626	1002	596
627	1003	594
628	1005	592
629	1006	591
630	1007	589
631	1009	587
632	1010	585
633	1012	584
634	1013	582
635	1014	580
636	1016	579
637	1017	577
638	1019	575
639	1020	573
640	1021	572
641	1022	570
642	1024	568
643	1025	566
644	1026	565
645	1027	563
646	1029	561
647	1031	560
648	1032	558
649	1034	557
650	1035	555
651	1037	553
652	1038	551
653	1039	550
654	1041	548
655	1042	546
656	1043	544
657	1044	543
658	1046	541
659	1047	539
660	1048	537
661	1049	536
662	1051	534
663	1052	532
664	1053	530
665	1054	528
666	1056	527
667	1057	525
668	1058	523
669	1059	522
670	1061	520
671	1062	518
672	1063	516
673	1065	515
674	1066	513
675	1067	511
676	1068	509
677	1070	508
678	1071	506
679	1072	504
680	1073	502
681	1075	501
682	1076	499
683	1077	497
684	1078	496
685	1079	494
686	1081	492
687	1082	490
688	1083	489
689	1084	487
690	1086	485
691	1087	483
692	1088	482
693	1089	480
694	1091	478
695	1092	477
696	1093	475
697	1094	473
698	1096	472
699	1097	470
700	1098	468
701	1099	466
702	1101	465
703	1102	463
704	1103	461
705	1104	460
706	1106	458
707	1107	456
708	1108	454
709	1109	453
710	1111	451
711	1112	449
712	1113	448
713	1114	446
714	1115	444
715	1117	443
716	1118	441
717	1119	439
718	1120	438
719	1122	436
720	1123	434
721	1124	433
722	1126	431
723	1127	429
724	1128	428
725	1129	426
726	1131	424
727	1132	423
728	1134	421
729	1135	419
730	1136	418
731	1137	416
732	1139	414
733	1140	413
734	1141	411
735	1143	410
736	1144	408
737	1145	406
738	1146	405
739	1148	403
740	1149	401
741	1151	400
742	1152	398
743	1153	396
744	1154	395
745	1156	393
746	1157	391
747	1158	390
748	1159	388
749	1161	387
750	1162	385
